"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2011","2011",17,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2012","2012",14,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2013","2013",19,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2014","2014",28,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2015","2015",26,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2016","2016",37,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2017","2017",31,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2018","2018",34,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2019","2019",21,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2020","2020",17,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2010","2010",3057,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2011","2011",3041,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2012","2012",3018,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2013","2013",3158,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2014","2014",3106,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2015","2015",3123,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2016","2016",2783,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2017","2017",2897,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2018","2018",2910,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2019","2019",2437,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE14","14 anni e più","99","totale","2020","2020",2033,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2010","2010",1292,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2011","2011",1369,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2012","2012",1275,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2013","2013",1190,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2014","2014",1163,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2015","2015",1116,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2016","2016",1016,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2017","2017",1160,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2018","2018",923,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2019","2019",797,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2020","2020",729,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2010","2010",6.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2011","2011",8.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2012","2012",8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2013","2013",8.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2014","2014",8.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2015","2015",7.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2016","2016",7.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2017","2017",8.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2018","2018",7.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2019","2019",6.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","7","diploma","2020","2020",4.8,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2010","2010",26,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2011","2011",12,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2012","2012",30,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2013","2013",31,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2014","2014",28,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2015","2015",49,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2016","2016",36,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2017","2017",29,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2018","2018",41,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2019","2019",52,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y45-64","45-64 anni","11","laurea e post-laurea","2020","2020",24,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2010","2010",13.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2011","2011",12.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2012","2012",11.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2013","2013",13.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2014","2014",10.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2015","2015",15.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2016","2016",12.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2017","2017",12,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2018","2018",14.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2019","2019",9.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-44","25-44 anni","11","laurea e post-laurea","2020","2020",10,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2010","2010",9.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2011","2011",9.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2012","2012",8.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2013","2013",8.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2014","2014",9.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2015","2015",10.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2016","2016",8.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2017","2017",9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2018","2018",9.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2019","2019",7.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-64","45-64 anni","7","diploma","2020","2020",6.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2010","2010",9.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2011","2011",10.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2012","2012",9.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2013","2013",10.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2014","2014",9.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2015","2015",10,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2016","2016",9.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2017","2017",9.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2018","2018",8.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2019","2019",8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","7","diploma","2020","2020",8.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2010","2010",13.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2011","2011",12.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2012","2012",12.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2013","2013",12.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2014","2014",11.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2015","2015",12.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2016","2016",11.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2017","2017",12,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2018","2018",12,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2019","2019",9.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-64","45-64 anni","4","licenza di scuola media","2020","2020",9.9,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2010","2010",1202,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2011","2011",1300,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2012","2012",1227,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2013","2013",1254,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2014","2014",1283,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2015","2015",1294,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2016","2016",1251,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2017","2017",1302,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2018","2018",1235,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2019","2019",1021,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE65","65 anni e più","99","totale","2020","2020",924,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2010","2010",367,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2011","2011",325,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2012","2012",394,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2013","2013",354,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2014","2014",338,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2015","2015",385,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2016","2016",373,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2017","2017",400,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2018","2018",366,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2019","2019",349,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y45-64","45-64 anni","99","totale","2020","2020",260,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2010","2010",14.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2011","2011",10.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2012","2012",17.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2013","2013",12.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2014","2014",17.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2015","2015",13.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2016","2016",14.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2017","2017",16.8,,
