"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","CONDIZIONE_DICH","Condizione e posizione nella professione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2011","2011",4940,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2012","2012",4930,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2013","2013",4709,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2014","2014",4947,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2015","2015",4944,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2016","2016",5023,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2017","2017",4944,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2018","2018",4694,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2019","2019",4844,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2020","2020",4713,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2010","2010",8.8,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2011","2011",9.4,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2012","2012",8.3,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2013","2013",9.2,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2014","2014",7.2,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2015","2015",8.3,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2016","2016",7.6,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2017","2017",8.1,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2018","2018",8,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2019","2019",7.5,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2020","2020",7.6,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2010","2010",1275,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2011","2011",1262,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2012","2012",1243,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2013","2013",1244,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2014","2014",1165,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2015","2015",1285,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2016","2016",1221,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2017","2017",1275,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2018","2018",1379,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2019","2019",1544,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2020","2020",1710,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2010","2010",215,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2011","2011",175,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2012","2012",208,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2013","2013",192,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2014","2014",197,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2015","2015",192,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2016","2016",172,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2017","2017",172,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2018","2018",192,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2019","2019",169,,
"15_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2020","2020",112,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2010","2010",299,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2011","2011",331,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2012","2012",344,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2013","2013",319,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2014","2014",314,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2015","2015",280,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2016","2016",277,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2017","2017",336,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2018","2018",326,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2019","2019",200,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","1","maschi","1D","lavoratore in proprio, coadiuvante familiare, co.co.co.","2020","2020",202,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2010","2010",999,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2011","2011",999,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2012","2012",962,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2013","2013",1108,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2014","2014",1003,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2015","2015",976,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2016","2016",945,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2017","2017",928,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2018","2018",1002,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2019","2019",870,,
"15_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","1","occupato","2020","2020",658,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2010","2010",37,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2011","2011",33.9,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2012","2012",38.3,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2013","2013",37.8,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2014","2014",38.5,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2015","2015",36.6,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2016","2016",38,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2017","2017",38.3,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2018","2018",43.7,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2019","2019",42.9,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1B","direttivo, quadro, impiegato","2020","2020",43,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2010","2010",40.3,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2011","2011",41.4,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2012","2012",41.2,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2013","2013",40.1,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2014","2014",38.1,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2015","2015",39.9,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2016","2016",39.3,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2017","2017",44,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2018","2018",45.9,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2019","2019",44.2,,
"15_WALLET_NEIGHBV","molto","HSC","per 100 persone con le stesse caratteristiche","9","totale","1A","dirigenti, imprenditori, liberi professionisti","2020","2020",47.1,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2010","2010",1945,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2011","2011",1700,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2012","2012",1736,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2013","2013",1786,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2014","2014",1706,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2015","2015",1628,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2016","2016",1765,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2017","2017",1752,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2018","2018",1974,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2019","2019",2275,,
"15_WALLET_POLICV","molto","THV","valori in migliaia","1","maschi","1B","direttivo, quadro, impiegato","2020","2020",2245,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2010","2010",68.8,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2011","2011",71.5,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2012","2012",73,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2013","2013",72.3,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2014","2014",67.4,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2015","2015",72.5,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2016","2016",71.8,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2017","2017",72,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2018","2018",70.1,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2019","2019",68.9,,
"15_NOTRUST","bisogna stare molto attenti","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1B","direttivo, quadro, impiegato","2020","2020",67.3,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2010","2010",3327,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2011","2011",3180,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2012","2012",3151,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2013","2013",3110,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2014","2014",3385,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2015","2015",3001,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2016","2016",3067,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2017","2017",3089,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2018","2018",3315,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2019","2019",3712,,
"15_YESTRUST","gran parte della gente è degna di fiducia","THV","valori in migliaia","1","maschi","1","occupato","2020","2020",3410,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2010","2010",10.5,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2011","2011",10.5,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2012","2012",9.4,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2013","2013",10.6,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2014","2014",8.1,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2015","2015",9.4,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2016","2016",8.3,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2017","2017",9.4,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2018","2018",9.5,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2019","2019",8.3,,
"15_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2020","2020",4.3,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2010","2010",3358,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2011","2011",3138,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2012","2012",3391,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2013","2013",3160,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2014","2014",3394,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2015","2015",3234,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2016","2016",3378,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2017","2017",3528,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2018","2018",3998,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2019","2019",4129,,
"15_WALLET_NEIGHBV","molto","THV","valori in migliaia","2","femmine","1","occupato","2020","2020",3982,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2010","2010",6.2,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2011","2011",6.2,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2012","2012",6,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2013","2013",6.5,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2014","2014",5.8,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2015","2015",5.2,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2016","2016",4.9,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2017","2017",5.6,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2018","2018",5.6,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2019","2019",6,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1A","dirigenti, imprenditori, liberi professionisti","2020","2020",4.8,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2010","2010",37.3,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2011","2011",37,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2012","2012",37.8,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2013","2013",35.7,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2014","2014",38.5,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2015","2015",38.1,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2016","2016",40.3,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2017","2017",35.2,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2018","2018",32.8,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2019","2019",34.1,,
"15_WALLET_NEIGHBQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1C","operaio, apprendista","2020","2020",35.6,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2010","2010",13.1,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2011","2011",13.5,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2012","2012",13.2,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2013","2013",16.7,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2014","2014",11.9,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2015","2015",12.4,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2016","2016",12.6,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2017","2017",14.8,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2018","2018",11.8,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1A","dirigenti, imprenditori, liberi professionisti","2019","2019",11.6,,
