"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2017","2017",11.2,,
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2018","2018",11.1,,
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2019","2019",9.4,,
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2020","2020",8.2,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2010","2010",49.7,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2011","2011",50.1,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2012","2012",48.1,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2013","2013",48.8,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2014","2014",45,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2015","2015",48.2,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2016","2016",45,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2017","2017",45.5,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2018","2018",42.6,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2019","2019",39.3,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2020","2020",36.4,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2010","2010",4600,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2011","2011",4494,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2012","2012",5072,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2013","2013",4604,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2014","2014",5351,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2015","2015",4782,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2016","2016",5249,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2017","2017",5051,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2018","2018",5681,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2019","2019",6466,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2020","2020",6828,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2010","2010",2877,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2011","2011",2404,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2012","2012",2621,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2013","2013",2506,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2014","2014",2427,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2015","2015",2672,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2016","2016",2327,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2017","2017",2546,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2018","2018",2344,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2019","2019",2421,,
"IT","Italia","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2020","2020",1786,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2010","2010",1.7,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2011","2011",1.6,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2012","2012",2,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2013","2013",1.7,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2014","2014",2.2,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2015","2015",2,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2016","2016",2.1,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2017","2017",1.9,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2018","2018",2.3,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2019","2019",2.7,,
"IT","Italia","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2020","2020",2.7,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2010","2010",6131,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2011","2011",6207,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2012","2012",6094,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2013","2013",6280,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2014","2014",6187,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2015","2015",6280,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2016","2016",5624,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2017","2017",5881,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2018","2018",5846,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2019","2019",4956,,
"IT","Italia","14_WALLET_POLICNM","poco","THV","valori in migliaia","2020","2020",4297,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2010","2010",25863,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2011","2011",25916,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2012","2012",25025,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2013","2013",25526,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2014","2014",23682,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2015","2015",25389,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2016","2016",23679,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2017","2017",23945,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2018","2018",22435,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2019","2019",20694,,
"IT","Italia","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2020","2020",19134,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2010","2010",5.5,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2011","2011",4.6,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2012","2012",5,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2013","2013",4.8,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2014","2014",4.6,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2015","2015",5.1,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2016","2016",4.4,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2017","2017",4.8,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2018","2018",4.4,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2019","2019",4.6,,
"IT","Italia","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2020","2020",3.4,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2010","2010",489,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2011","2011",424,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2012","2012",542,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2013","2013",476,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2014","2014",575,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2015","2015",500,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2016","2016",526,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2017","2017",479,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2018","2018",610,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2019","2019",673,,
"ITCD","Nord","14_WALLET_STRANGV","molto","THV","valori in migliaia","2020","2020",633,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2010","2010",10073,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2011","2011",10301,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2012","2012",9878,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2013","2013",10456,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2014","2014",9267,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2015","2015",10168,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2016","2016",9284,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2017","2017",9422,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2018","2018",8684,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2019","2019",8025,,
"ITCD","Nord","14_WALLET_STRANGNAL","per niente","THV","valori in migliaia","2020","2020",7720,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2010","2010",40.5,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2011","2011",41.3,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2012","2012",42.3,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2013","2013",40.6,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2014","2014",43.4,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2015","2015",42.4,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2016","2016",43.8,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2017","2017",44.7,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2018","2018",45.8,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2019","2019",46.7,,
"ITCD","Nord","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2020","2020",48.3,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2010","2010",5628,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2011","2011",5718,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2012","2012",5856,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2013","2013",5687,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2014","2014",6140,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2015","2015",5808,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2016","2016",6169,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2017","2017",6238,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2018","2018",6424,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2019","2019",6602,,
"ITC","Nord-ovest","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2020","2020",6712,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2010","2010",3.6,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2011","2011",3.6,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2012","2012",4.2,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2013","2013",4.8,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2014","2014",4,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2015","2015",4.4,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2016","2016",3.6,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2017","2017",3.6,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2018","2018",4.2,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2019","2019",4.6,,
"ITC","Nord-ovest","14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2020","2020",3.7,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2010","2010",11.8,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2011","2011",10.3,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2012","2012",11.2,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2013","2013",10.4,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2014","2014",12.9,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2015","2015",11.2,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2016","2016",12.1,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2017","2017",11.5,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2018","2018",12.8,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2019","2019",14.2,,
"ITC","Nord-ovest","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2020","2020",14.8,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2010","2010",158,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2011","2011",142,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2012","2012",176,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2013","2013",151,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2014","2014",158,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2015","2015",175,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2016","2016",117,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2017","2017",168,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2018","2018",150,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2019","2019",137,,
"ITC1","Piemonte","14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2020","2020",109,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2010","2010",424,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2011","2011",346,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2012","2012",425,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2013","2013",413,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2014","2014",536,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2015","2015",469,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2016","2016",448,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2017","2017",438,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2018","2018",441,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2019","2019",538,,
"ITC1","Piemonte","14_WALLET_STRANGQ","abbastanza","THV","valori in migliaia","2020","2020",563,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2010","2010",9.7,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2011","2011",9.5,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2012","2012",8.9,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2013","2013",12.6,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2014","2014",10,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2015","2015",8.5,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2016","2016",8.6,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2017","2017",6.8,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2018","2018",9.1,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2019","2019",8.1,,
"ITC1","Piemonte","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2020","2020",6.6,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2010","2010",2.2,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2011","2011",1.5,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2012","2012",1.7,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2013","2013",2.1,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2014","2014",3,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2015","2015",2.2,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2016","2016",2.3,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2017","2017",2,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2018","2018",2.1,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2019","2019",2.8,,
"ITC1","Piemonte","14_WALLET_STRANGV","molto","HSC","per 100 persone con le stesse caratteristiche","2020","2020",2.5,,
"ITC1","Piemonte","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2010","2010",42.5,,
"ITC1","Piemonte","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2011","2011",42.7,,
"ITC1","Piemonte","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2012","2012",41.6,,
"ITC1","Piemonte","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2013","2013",43.5,,
"ITC1","Piemonte","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2014","2014",37.1,,
"ITC1","Piemonte","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2015","2015",42.6,,
"ITC1","Piemonte","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2016","2016",39.8,,
"ITC1","Piemonte","14_WALLET_STRANGNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","2017","2017",41,,
